Tick: 0 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 1 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 2 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 3 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 4 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 5 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 6 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 7 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 8 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 9 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 10 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 11 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 12 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 13 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 14 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 15 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 16 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 17 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 18 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 19 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 20 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 21 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 22 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 23 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 24 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 25 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 26 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 27 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 28 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 29 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 30 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 31 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 32 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 33 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 34 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 35 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 36 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 37 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 38 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 39 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 40 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 41 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 42 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 43 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 44 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 45 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 46 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 47 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 48 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 49 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 50 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 51 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 52 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 53 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 54 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 55 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 56 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 57 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 58 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 59 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 60 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 61 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 62 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 63 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 64 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 65 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 66 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 67 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 68 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 69 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 70 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 71 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 72 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 73 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 74 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 75 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 76 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 77 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 78 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 79 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 80 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 81 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 82 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 83 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 84 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 85 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 86 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 87 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 88 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 89 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 90 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 91 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 92 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 93 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 94 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 95 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 96 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 97 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 98 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 99 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 100 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 101 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 102 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 103 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 104 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 105 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 106 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 107 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 108 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 109 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 110 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 111 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 112 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 113 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 114 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 115 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 116 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 117 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 118 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 119 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 120 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 121 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 122 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 123 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 124 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 125 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 126 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 127 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 128 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 129 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 130 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
